job_title,company_name,job_posted,job_description,job_link
AI Engineer,eZhire,2 days ago,"Job title: AI EngineerLocation: Shahrah-e-Faisal, KarachiKey ResponsibilitiesBuild and optimize LLM-based chatbots and agents using frameworks like LangGraph or LangChainDevelop and document FastAPI/Flask-based microservices to serve AI modelsDesign and maintain RAG pipelines using vector databases (FAISS, Chroma)Deploy and track models using MLflow, with proper versioning and metric loggingContribute to CI/CD pipelines and containerization using DockerSet up experiment tracking, hyperparameter tuning, and structured model evaluationPreprocess datasets, build embeddings, and optimize memory usage in inference flowsRequired SkillsMust haves;2-4 years Experience with Python, with hands-on experience building APIs (FastAPI or Flask)2+ years Experience with LangChain / LangGraph / Crew ai for chatbot/agent development2+ years Experience with vector stores (FAISS, Chroma, Pinecone or any other vdb) and RAG architecturesFamiliar with transformers and LLMs (OpenAI, LLaMA, Mistral, etc.)Ability to build, test, and document clean, maintainable codeNice to haves;Understanding of MLOps practices, including MLflow for tracking and deploymentsExperience with Docker, Git, and cloud-based or local deployment workflowsIdeal CandidateBachelors or Masters degree in Computer Science/ Software engineering/ Data science/ AI or any related field2-4 years of professional experience in AI / Agentic AIInterested candidates are requested to share there resumes at career@ezhire.life and mention position in the subject line.",https://pk.linkedin.com/jobs/view/ai-engineer-at-ezhire-4275360501?trk=public_jobs_topcard-title
Senior AI Engineer I,Careem,3 days ago,"About the CompanyCareem is building the Everything App for the greater Middle East, making it easier than ever to move around, order food and groceries, manage payments, and more. Careem is led by a powerful purpose to simplify and improve the lives of people and build an awesome organisation that inspires. Since 2012, Careem has created earnings for over 2.5 million Captains, simplified the lives of over 70 million customers, and built a platform for the region’s best talent to thrive and for entrepreneurs to scale their businesses. Careem operates in over 70 cities across 10 countries, from Morocco to Pakistan.About The TeamThe Careem Data Science team’s mission is to drive competitive value from data at scale through building AI models to optimize user experiences, decision making, operational efficiencies, and lead the region’s AI ecosystem. As one of the leaders in this team, you will be at the forefront of fulfilling this mission. You will be working with and leading the top data science talent of the region, leveraging AI to solve the region’s day-to-day problems, through state-of-the-art machine learning, optimization, deep learning, and RL models, that are deployed on top of our own in-house AI platform, serving users in real-time.What you'll doBuild a long-term vision on how we can rethink our customer acquisition and engagement strategies, leveraging data in our decision making.Drive exploratory analysis to understand the ecosystem, user behavior, identify new levers to help move metrics and build models of user behaviors for analysis and product enhancements.Shape and influence data/ML models and instrumentation to optimize the product experience and generate insights on new areas of opportunity and new products.Provide product leadership by sharing data-based recommendations to communicate state of business, root cause of change in metrics and experimentation results influencing product and business decisionsImplement scalable machine learning algorithms that will be used in production on big data.Embark on exploratory data analysis projects to achieve a better understanding of phenomena as well as to discover untapped areas of growth and optimization. Answer complex analytic questions from big data sets to help Careem shape its products and services in a better way.Help define and track the appropriate key metrics for specific projects. Design and run randomized controlled experiments, analyze the resulting data,a and communicate results with other teams.You will always challenge the status quo and continually investigate new data processing technologies and seek to ensure that we follow the industry best practices.What you'll needExperience in data mining, predictive modeling, time series analysis, machine learning, Big Data methodologies, transformation, and cleaning of both structured and unstructured data.Advanced degree in a quantitative discipline such as Physics, Statistics, Mathematics, Engineering or Computer Science.Strong problem-solving and coding skills.Solid knowledge of and experience with marketplace problems in ride hailing and delivery services. Solid knowledge of AB testing, classic ML, and DLSolid understanding of recommendations, learning to rank, uplift modeling,g and matching problems. Fluency in English along with excellent oral and written communication skills.Proficiency and demonstrated experience in: Python, SQL, Spark, Hive.Demonstrated experience with database technologies (e.g. Hadoop, BigQuery, Amazon EMR, Hive, Oracle, SAP, DB2, Teradata, MS SQL Server, MySQL).Demonstrated experience with business intelligence and visualization tools (Tableau, MicroStrategy, ChartIO, Qlik) along with geospatial data processing skills is a plus.Knowledge of Agile methodologies.What We’ll Provide YouWe offer colleagues the opportunity to drive impact in the region while they learn and grow. As a full time Careem colleague, you will be able to:Work and learn from great minds by joining a community of inspiring colleagues.Put your passion to work in a purposeful organisation dedicated to creating impact in a region with a lot of untapped potential.Explore new opportunities to learn and grow every day.Work 4 days a week in office & 1 day from home, and remotely from any country in the world for 30 days a year with unlimited vacation days per year. (If you are in an individual contributor role in tech, you will have 2 office days a week and 3 to work from home.)Access to healthcare benefits and fitness reimbursements for health activities including gym, health club, and training classes.",https://pk.linkedin.com/jobs/view/senior-ai-engineer-i-at-careem-4271311320?trk=public_jobs_topcard-title
Senior Backend Engineer (Python / AWS / Kubernetes),Taraki,6 days ago,"The role is fully remote with the expectation to be available throughout US EST hours (6pm - 2am Pakistan time).About The RoleWe are working with a full-funded US startup that is hiring a Sr. Backend Engineer with strong Kubernetes experience to lead the migration of backend services to a containerized microservices architecture. You'll architect and implement scalable, event-driven systems that power real-time fleet control and analytics, while integrating tightly with their existing cloud infrastructure.About The CompanyThe Company delivers a unified, brand-agnostic platform for deploying, controlling, and monitoring mobile robot fleets in manufacturing and logistics environments. They offer real-time performance insights and mission automation via a single dashboard, helping customers scale robotics operations efficiently and with zero downtimeKey ResponsibilitiesLead the migration of backend services (Python AWS stack) to Kubernetes (EKS/GKE/AKS).Develop and maintain robust backend systems using Python and AWS services.Integrate with Kafka or similar messaging systems for real-time data pipelines.Design scalable, event-driven architectures that support real-time robot telemetry and control.Collaborate with DevOps, frontend, and product teams to ensure smooth deployment and operations.Build and optimize CI/CD pipelines and IaC configurations.Monitor and troubleshoot Kubernetes cluster performance and stability.Required SkillsPython backend development (3+ years recommended)Trusted experience deploying and migrating to KubernetesFamiliarity with AWS (EKS, ECS, Lambda, RDS, etc.)Experience with Kafka or similar message queuesExcellent communicationdaily interactions with US-based CTO, engineersMust be available for :4 hrs of EST overlap each day (9am5pm EST)Remote-first mentality with proactive problem-solvingPreferred QualificationsInfrastructure-as-Code (Terraform, Helm, CloudFormation) for automated deploymentsDocker & CI/CD best practices for container workflowsReal-time systems monitoring (e.g., Prometheus, Grafana)Experience in robotics, industrial automation, or warehouse/logistics domainsComfortable in agile, early-stage startup environmentsWhy Join?Own and lead the cloud infrastructure migration to Kubernetes for a high-impact AI-driven logistics platformWork hands-on with Python and AWS, building backend systems that power real-time operational intelligencePartner directly with the founder and CTO in a fast-moving, technically ambitious environmentShape backend and infrastructure decisions in a startup where your technical leadership will have visible product impactGain exposure to cutting-edge event-driven systems (Kafka) and scalable architecture patternsFully remote position but requires US EST availability (6pm - 2am Pakistan time)Competitive monthly compensation of $3,500 to $4,500 USD based on experience",https://pk.linkedin.com/jobs/view/senior-backend-engineer-python-aws-kubernetes-at-taraki-4270020995?trk=public_jobs_topcard-title
Principal Oracle Systems Engineer,Pakistan Single Window (PSW),3 weeks ago,"Main Responsibilities: Install, configure, and manage Oracle Data Integrator (ODI) components including agents, repositories, and load plans Deploy and administer Oracle Analytics Server (OAS) with BI Publisher, DV, and catalog management Install and maintain Oracle WebLogic Server domains, clusters, and secure them with SSL Design and implement High Availability (HA) and Load Balancing strategies for Oracle Data Integrator (ODI) and Oracle Analytics Server (OAS) using WebLogic clustering, Oracle HTTP Server, or external load balancers (e.g., Nginx, HAProxy, F5) Set up and configure Oracle APEX and integrate it with Oracle databases and web servers Apply patches, perform upgrades, and implement security best practices across all Oracle platforms Document technical processes, maintain best practices, and ensure version control for ODI objectsOLVM (Oracle Linux Virtualization manager): Design, provision, and manage compute, networking, and storage in OLVM Automate infrastructure using Terraform, CLI, or Ansible (Would be a plus point)Infrastructure Automation & Support: Develop scripts and automation routines for installation, configuration, and daily operations Collaborate with the Infrastructure and DevOps teams on CI/CD integration and system monitoring Ensure high availability and performance tuning of Oracle platform componentsOracle Linux & System Administration: Administer Oracle Linux servers hosting Oracle stack components Set up system-level monitoring, logging, and resource utilization tools Support backup/recovery operations and implement DR strategies where applicable Administer and troubleshoot Oracle Linux systems including disk management, logical volume management (LVM), and system performance tuning Perform tasks related to filesystem layout, mount points, storage allocation, backup scripts, and system recoveryRequirements Strong hands-on experience with: Oracle Data Integrator (ODI /12c) Oracle Analytics Server (OAS) or Oracle Analytics Cloud (OAC) Oracle WebLogic Server administration and tuning Oracle APEX deployment and configuration Oracle Linux 7/8/9 Working knowledge of Oracle Linux Virtualization Manager (OLVM) Experience with enterprise system integration and Oracle patching/upgrade procedures Bachelor's in engineering/computer science with 6-7 years of experience is preferred Oracle certifications in OLVM, Middleware, or ODI Experience with hybrid infrastructure environments Familiarity with CI/CD, Git, Jenkins, or similar DevOps tools Exposure to Identity & Access Management (IAM) is a plus Strong analytical and troubleshooting skills Clear verbal and written communication Self-motivated, proactive, and detail-orientedAbility to work independently and as part of a cross-functional team.BenefitsCompetitive salaryFuel CardHealth benefitsProfessional development opportunitiesInclusive work culture & much more",https://pk.linkedin.com/jobs/view/principal-oracle-systems-engineer-at-pakistan-single-window-psw-4275336931?trk=public_jobs_topcard-title
DevOps Engineer,Dubizzle Labs,2 weeks ago,"As a DevOps Engineers at Dubizzle Labs ensures, you will ensure our services are healthy, monitored, automated, and designed to scale. You’ll use your background as an operations generalist to work closely with our development teams from the early stages of design all the way through identifying and resolving production issues. You will support a wide range of products focusing on automation, availability and performance, and above all reliability.RequirementsServe as a primary point responsible for the overall health, performance, efficiency and capacity of our production environmentBe part of the implementation and design of the systems used to operate Dubizzle, with a focus on automation and maintainability at large scaleExperience in building large CI/CD processes (experience with Github actions & Jenkins is preferred)Collaboration with the development team on operations-related issues, providing support and acting as stakeholderProvide fast and reliable development experience for product teams by maintaining production-like environments used for development and testingDevelop tools to effectively monitor custom applications in a large-scale environmentTroubleshoot issues across the entire stack - hardware, software, application and networkMigrate applications off of legacy environments with minimal downtimeTake part in a shared 24x7 on-call rotationDocument system design and proceduresExperience & QualificationBachelor's Degree in Computer Science, Engineering or equivalent field and significant experience in DevOps.AWS Solutions Architect certification4+ years experience in supporting hosted services in a high-volume customer-facing environmentExperience with DevOps tools, processes, culture, distributed systems, supporting mission-critical systemsExperience working on Continuous Integration / Delivery pipelines using tools such as Jenkins and Github actionsDemonstrated ability to write programs / utilities using a high-level programming language like: Go, Ruby, Python as well as Bash3+ years proven experience in running and managing infrastructure at scale using container orchestration tool kubernetesExperience in performing migration from traditional technology stack(s) to AWS EKS or similar",https://pk.linkedin.com/jobs/view/devops-engineer-at-dubizzle-labs-4222044070?trk=public_jobs_topcard-title
DevOps Engineer,HR Ways - Hiring Tech Talent,,"DevOps Engineer - Onsite - KarachiCompany Overview:Hiring for one of our Leading Healthcare sector in KarachiKey Responsibilities:Design, build, and maintain scalable CI/CD pipelines for development and production environments.Collaborate with development, QA, and operations teams to ensure smooth deployment and integration.Monitor systems performance and troubleshoot deployment or infrastructure issues.Implement and manage on-premise servers & managed services infrastructure.Manage version control systems such as Git, GitHub/GitLab/Bitbucket.Configure and maintain container orchestration (Docker, Kubernetes).Ensure security and compliance practices in DevOps operations.Automate routine tasks to improve system efficiency and reduce manual effort.Participate in on-call support rotations and incident response processes.Required Skills and Qualifications:Bachelors degree in Computer Science, IT, or related field.3 - 5 years of experience in a DevOps or similar role.Hands-on experience with CI/CD tools (e.g., Jenkins, GitLab CI, CircleCI, GitHub Actions).Strong knowledge of Managed services (AWS, Azure, or GCP).Proficiency with containerization and orchestration tools (Docker, Kubernetes).Experience with IaC tools like Terraform or Ansible.Familiarity with monitoring/logging tools (e.g., Prometheus, Grafana, ELK stack, etc).Strong knowledge of API Getway (Kong, NGINX, Tyk, Ocelot).Strong scripting skills in Bash, Python, or PowerShell.Understanding of networking, firewalls, load balancers, and DNS.Excellent problem-solving, communication, and collaboration skills.Preferred Qualifications (Optional):Certifications in AWS/GCP/Azure or Kubernetes.Experience in Agile/Scrum environments.Knowledge of security best practices (DevSecOps).Familiarity with databases (SQL/NoSQL).Other Details:Location: Onsite KorangiExperience: 2 4 yearsTimings: (Mon-Fri) from 8:30 AM to 5:00 PM. 1 Saturday (half day) in a month.Salary: Market Competitive   About HR Ways: ""HR Ways is an award-winning Technical Recruitment Firm helping software houses and IT Product companies internationally and locally to find IT Talent. HR Ways is engaged by 300+ Employers worldwide, ranging from the world's biggest SaaS Companies to most competitive Startups. We have entities in Dubai, Canada, the US, the UK, Pakistan, India, Saudi Arabia, Portugal, Brazil, and other parts of the world.",https://pk.linkedin.com/jobs/view/devops-engineer-at-hr-ways-hiring-tech-talent-4272757152?trk=public_jobs_topcard-title
Senior DevOps Engineer,DigitalOcean,1 week ago,"Dive in and do the best work of your career at DigitalOcean. Journey alongside a strong community of top talent who are relentless in their drive to build the simplest scalable cloud. If you have a growth mindset, naturally like to think big and bold, and are energized by the fast-paced environment of a true industry disruptor, you’ll find your place here. We value winning together—while learning, having fun, and making a profound difference for the dreamers and builders in the world.At DigitalOcean, cloud computing allows us to modernize and consolidate IT infrastructure, automate workloads, and pursue next-generation innovation. To continue this transformation, we’re seeking an experienced DevOps engineer who has expertise in the strategy, design, development, and implementation of large-scale projects in the cloud. The ideal candidate will have a firm grasp of emerging technologies, platforms, applications and an ability to customize them to help our business become more secure and efficient. Extensive knowledge of cloud maintenance and advanced industry knowledge are essential to keep us on the cutting edge. The DevOps engineer will have an immediate impact on the day-to-day efficiency of IT operations and an ongoing impact on growth.Key ResponsibilitiesCollaborate with development teams to integrate DevOps practices.Develop REST APIs using Python Flask and Ansible.Develop and maintain CI/CD pipelines using Jenkins and GitHub Actions.Implement automation for configuration management across all server components.Automate Linux server management using Ansible, Python, and Bash scripts.Ensure deployment and maintenance of networking and security protocols.Deploy Docker containers with Kubernetes, using Helm charts.Streamline deployment with Argocd for Kubernetes orchestration.Provision and manage infrastructure on AWS and other cloud providers.Write and maintain infrastructure as code using Terraform.QualificationsBachelor's degree in Computer Science or related field.5+ years of experience in software engineering with DevOps focus.Strong knowledge in web development, backed by at least 1 year of hands-on experience.Deep understanding of DevOps fundamentals and rapid software delivery practices.Strong knowledge of encryption, hashing, and SSL/TLS protocols.Proficient in networking concepts and implementing robust security measures.Proficiency in Python, Bash, Ansible, and Linux system administration.Proficiency with cloud platforms, particularly AWS.Knowledge of containerization concepts and Kubernetes.Knowledge of infrastructure as code technologies.Proficient in database management, including MySQL, MariaDB, and PostgreSQL.Excellent problem-solving skills and ability to work in a fast-paced environment.Why You’ll Like Working for DigitalOceanWe innovate with purpose. You’ll be a part of a cutting-edge technology company with an upward trajectory, who are proud to simplify cloud and AI so builders can spend more time creating software that changes the world. As a member of the team, you will be a Shark who thinks big, bold, and scrappy, like an owner with a bias for action and a powerful sense of responsibility for customers, products, employees, and decisions. We prioritize career development. At DO, you’ll do the best work of your career. You will work with some of the smartest and most interesting people in the industry. We are a high-performance organization that will always challenge you to think big. Our organizational development team will provide you with resources to ensure you keep growing. We provide employees with reimbursement for relevant conferences, training, and education. All employees have access to LinkedIn Learning's 10,000+ courses to support their continued growth and development.We care about your well-being. Regardless of your location, we will provide you with a competitive array of benefits to support you from our Employee Assistance Program to Local Employee Meetups to flexible time off policy, to name a few. While the philosophy around our benefits is the same worldwide, specific benefits may vary based on local regulations and preferences.We reward our employees. The salary range for this position is based on market data, relevant years of experience, and skills. You may qualify for a bonus in addition to base salary; bonus amounts are determined based on company and individual performance. We also provide equity compensation to eligible employees, including equity grants upon hire and the option to participate in our Employee Stock Purchase Program.We value diversity and inclusion. We are an equal-opportunity employer, and recognize that diversity of thought and background builds stronger teams and products to serve our customers. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.This is a onsite role",https://pk.linkedin.com/jobs/view/senior-devops-engineer-at-digitalocean-4076955480?trk=public_jobs_topcard-title
Senior Genesys Cloud Engineer,ibex,,"Ibex. is looking for a ""Senior Genesys Cloud Engineer"" who will be responsible for supporting global telephony & contact center operations across contact centers. As part of the Genesys cloud team, the engineer’s responsibilities include acting as POC for all contact center solution requests, be it questions or problems. The role requires Administration, troubleshooting and working on day-to-day operational issues, with close coordination with respective technical teams.ResponsibilitiesActing as POC for daily, Genesys cloud issues and concerns.Supporting Genesys Operations as Tier-2 and Tier-3.Troubleshooting day-to-day operational issues with respect to Genesys and its integrated Platforms. Coordinating multiple tasks or problems with other teams globally.Performing telephony, contact center, and other solution’s Administration as per Standard procedures. Able to meet all Service level targets on all Ticketing Queues on Service Requests, Change tickets, Incidents and Projects.Tracking daily tasks, change requests and projects work for productivity.Performing daily, weekly, and monthly Genesys system performance checks.Preparing and maintaining accurate system and client documentation.Supporting multiple platforms and expand knowledge as per job requirement.Fulfilling relevant project roles as per assignments.Meeting assigned project milestones and deadlines.Providing daily / weekly status reports for on-going projects.QualificationsShould have 1-4+ years of experience, in the contact center industry and minimum 2-3 years experience of any other Telephony platform.Minimum working of 1-4 years on any Genesys Solutions as Administrator.Good Analytical skills and problem-solving capabilities.Excellent case management skills & able to work independently.Must have excellent Spoken and Written English skills.Must be positive thinker, flexible and creative.Must be willing to help, support other members as teamwork.Must be respectable to Juniors and peers in other teams, as well and transparent in communication.Responds quickly and attentively to changes in department, organization, projects and processes.Must be able to lead team in responsible way to achieve goals, maintain quality standards and be compliant to SOPs in a secured environment.Bachelor’s degree in IT, CS and Telecom.Any Genesys Cloud Certification is plus.Any other knowledge on Contact Center Solutions on Cloud is plus.",https://pk.linkedin.com/jobs/view/senior-genesys-cloud-engineer-at-ibex-4233299107?trk=public_jobs_topcard-title
Connectivity Engineer (Trading Platform),GenZ Talent,3 weeks ago,"CONNECTIVITY ENGINEERLOCATION: REMOTESALARY: $2,500 - $3,000 per monthJob DescriptionIf you're interested in pursuing a career in the world of digital assets, then come and join our Engineering Team based in London where you will contribute to the development of the Trading Platform whilst working closely with the Product Team.ResponsibilitiesDesign, build and enhance our extensive API based services written in Golang.Contribute and encourage API adoption both internally and externally.Help write comprehensive end to end feature tests and examples based on the API. Support platform integration with Exchanges, Brokers, OTC Platforms.imn Work with engineers, designers, product managers and senior leadership to ensure constant improvement and quality assured delivery.Monitor and support all production system componentsRequired Experience5+ years commercial hand on software engineering experienceCrypto experience with CeFi and or DeFi platformsFinancial Services experience (Buy or Sell-Side)Previously designed client-facing APIsGolang expertise or other structured languages (C#, C++, Rust)Worked in cloud and containerised environments.Proficient in building and using REST, WebSockets, and/or FIX-based APIsStrong knowledge of data structures and algorithmsExcellent software design and debugging skillsBachelor's degree or relevant work experience in Computer Science, Mathematics, Electrical Engineering or related technical disciplineProven ability to own outcomes and work effectively with others as required to deliverNice to haveWed love it if you have experience of some or all of the following:Building performant low-latency systemsPerformance testing distributed systemsMessaging/streaming technologiesExecution, order, or portfolio management systemsBuilding monitoring dashboards using technologies such as the Prometheus and GrafanaValuesPassion - As a Software Engineer, you are passionate about building high-quality, performant services.Respect - As part of a diverse team, you have deep cultural empathy and respect for fellow workers, clients, partners, and the companys regulatory obligations.Teamwork & Communication - You value cross-team collaboration, effective communication, and efficient processes that deliver best results.Tenacity - You know that delivering stable, performant systems takes hard work and persistence and you bring both these qualities to table every day. You unblock.Trust & Transparency - You are willing to share your knowledge with the rest of the team and arent afraid to ask questions to improve your work and progress delivery.Excellence - Excellence is a mindset and you strive to be the best version of yourself and expect the same from others. You will have a testing mindset and ruthless focus on delivering quality solutions and value for our clients.Why join? Join one of the fastest growing FinTech companies and help shape the future of financeA startup with deep financial backing and a strong market presenceOur platform is enabling institutional access to the most exciting growth opportunity in FinanceWork with a modern technology stack and help solve high impact problemsStrong client focused team with a diverse backgroundWere a global company and have offices in New York, Singapore, London",https://pk.linkedin.com/jobs/view/connectivity-engineer-trading-platform-at-genz-talent-4259154870?trk=public_jobs_topcard-title
Senior DevOps Engineer,dubizzle,2 weeks ago,"As a DevOps Engineers at Dubizzle ensures, you will ensure our services are healthy, monitored, automated, and designed to scale. You'll use your background as an operations generalist to work closely with our development teams from the early stages of design all the way through identifying and resolving production issues. You will support a wide range of products focusing on automation, availability and performance, and above all reliability.Requirements Serve as a primary point responsible for the overall health, performance, efficiency and capacity of our production environment Be part of the implementation and design of the systems used to operate Dubizzle, with a focus on automation and maintainability at large scale Experience in building large CI/CD processes (experience with Github actions & Jenkins is preferred) Collaboration with the development team on operations-related issues, providing support and acting as stakeholder Provide fast and reliable development experience for product teams by maintaining production-like environments used for development and testing Develop tools to effectively monitor custom applications in a large-scale environment Troubleshoot issues across the entire stack - hardware, software, application and network Migrate applications off of legacy environments with minimal downtime Take part in a shared 24x7 on-call rotation Document system design and procedures Experience & Qualification Bachelor's Degree in Computer Science, Engineering or equivalent field and significant experience in DevOps AWS Solutions Architect certification 5+ years experience in supporting hosted services in a high-volume customer-facing environment Experience with DevOps tools, processes, culture, distributed systems, supporting mission-critical systems Experience working on Continuous Integration / Delivery pipelines using tools such as Jenkins and Github actions Demonstrated ability to write programs / utilities using a high-level programming language like: Go, Ruby, Python as well as Bash 4+ years proven experience in running and managing infrastructure at scale using container orchestration tool kubernetes Experience in performing migration from traditional technology stack(s) to AWS EKS or similar Benefits A fast paced, high performing team Multicultural environment with over 40 different nationalities Comprehensive Health insurance (Spouse & Children) Rewards & Recognitions Learning & Development opportunities Gym Allowance Laptop Ownership Paid Leaves",https://pk.linkedin.com/jobs/view/senior-devops-engineer-at-dubizzle-4233720803?trk=public_jobs_topcard-title
Support Engineer,Ericsson,4 days ago,"Join our TeamAbout this opportunity:At Ericsson, we are seeking a knowledgeable and dedicated Support Engineer to join our team. In this pivotal role, you will be charged with providing data-driven solutions to customer reported issues in line with set processes and Service Level Agreements. The role involves identifying, isolating, and resolving faults, as well as working towards network stability. As your experience grows, you'll handle more operational and technical issues for specific customers, solutions, or domains.What you will do: Lead investigations and drive the resolution of customer issues throughout the CS portfolio. Actively participate in on-site activities, particularly when remote access is insufficient. Contribute to the resolution of emergencies through fault isolation and restoration of customer networks and solutions. Support problem management in identifying and categorizing significant operational or business impacting problems. Handle administrative, operational, and technical issues relating to the customer's contracts and installed base. Participate in Security Reviews as the primary contact for customers and subject matter expert in security matters.The skills you bring: Customer Problem Management. Negotiation. Knowledge Transfer and Reuse. Knowledge Sharing and Collaboration Skills. Release and change management. Coaching and Mentoring. Change and Improvement Management. Preemptive support competence. CS Portfolio competence. Data Analysis. Customer Success. Machine Learning. Customer Relationship Building. CSR Handling Process. Trade Compliance.",https://pk.linkedin.com/jobs/view/support-engineer-at-ericsson-4270735514?trk=public_jobs_topcard-title
Presales Engineer- Networking Solutions,SBS Distribution - Delivering Technology,2 days ago,"We are looking for a skilled Presales Engineer for Networking Solutions to join our dynamic team. The ideal candidate will play a key role in both pre & post sales activities, supporting the sales team with technical expertise and post-sales responsibilities, including implementation, support, and troubleshooting of network solutions.Key Responsibilities:Assist the sales team in understanding customer requirements and propose tailored networking solutions.Participate in client meetings, presentations, and product demos.Prepare technical documentation and proposals for tenders and RFPs.Support solution design and architecture planning aligned with customer needs.Design and implement secure network infrastructure for medium to large-scale environments.Deploy and configure Fortinet FortiGate Firewalls, Forti Switches, and related security features (VPNs, ACLs, NAT).Configure IPSEC tunnels and optimize routing protocols.Implement switching technologies such as VLANs, STP, and manage multi-vendor L2/L3 switches.Configure and manage Wireless LAN Controllers (WLC) and Lightweight Access Points (LAP).Deploy and maintain Cisco routers, voice configurations and Access Lists.Conduct packet-level network troubleshooting and implement proactive solutions to minimize downtime.Support SLA clients and resolve network and system-related issues.Work with cross-functional teams to enforce network policies and ensure security compliance.Prepare detailed project documentation, including implementation plans, configuration notes, and handover documents.Requirements:Bachelor’s degree in Computer Science, Information Technology, or related field.5+ years of hands-on experience in networking.Strong knowledge of Fortinet and Cisco technologies.Certifications like CCNA, CCNP, Fortinet NSE (NSE4+)Proficient in troubleshooting, implementation, and support of enterprise networking.IndustryInformation Technology & ServicesEmployment TypeFull-time",https://pk.linkedin.com/jobs/view/presales-engineer-networking-solutions-at-sbs-distribution-delivering-technology-4269602178?trk=public_jobs_topcard-title
Trading System Integration Expert,GenZ Talent,3 weeks ago,"LOCATION: REMOTESALARY: $2,500 - $3,000 per monthJob DescriptionIf you're interested in pursuing a career in the world of digital assets, then come and join our Engineering Team based in London where you will contribute to the development of the Trading Platform whilst working closely with the Product Team.ResponsibilitiesDesign, build and enhance our extensive API based services written in Golang.Contribute and encourage API adoption both internally and externally.Help write comprehensive end to end feature tests and examples based on the API. Support platform integration with Exchanges, Brokers, OTC Platforms.imn Work with engineers, designers, product managers and senior leadership to ensure constant improvement and quality assured delivery.Monitor and support all production system componentsRequired Experience5+ years commercial hand on software engineering experienceCrypto experience with CeFi and or DeFi platformsFinancial Services experience (Buy or Sell-Side)Previously designed client-facing APIsGolang expertise or other structured languages (C#, C++, Rust)Worked in cloud and containerised environments.Proficient in building and using REST, WebSockets, and/or FIX-based APIsStrong knowledge of data structures and algorithmsExcellent software design and debugging skillsBachelor's degree or relevant work experience in Computer Science, Mathematics, Electrical Engineering or related technical disciplineProven ability to own outcomes and work effectively with others as required to deliverNice to haveWed love it if you have experience of some or all of the following:Building performant low-latency systemsPerformance testing distributed systemsMessaging/streaming technologiesExecution, order, or portfolio management systemsBuilding monitoring dashboards using technologies such as the Prometheus and GrafanaValuesPassion - As a Software Engineer, you are passionate about building high-quality, performant services.Respect - As part of a diverse team, you have deep cultural empathy and respect for fellow workers, clients, partners, and the companys regulatory obligations.Teamwork & Communication - You value cross-team collaboration, effective communication, and efficient processes that deliver best results.Tenacity - You know that delivering stable, performant systems takes hard work and persistence and you bring both these qualities to table every day. You unblock.Trust & Transparency - You are willing to share your knowledge with the rest of the team and arent afraid to ask questions to improve your work and progress delivery.Excellence - Excellence is a mindset and you strive to be the best version of yourself and expect the same from others. You will have a testing mindset and ruthless focus on delivering quality solutions and value for our clients.Why join? Join one of the fastest growing FinTech companies and help shape the future of financeA startup with deep financial backing and a strong market presenceOur platform is enabling institutional access to the most exciting growth opportunity in FinanceWork with a modern technology stack and help solve high impact problemsStrong client focused team with a diverse backgroundWere a global company and have offices in New York, Singapore, London",https://pk.linkedin.com/jobs/view/trading-system-integration-expert-at-genz-talent-4259156163?trk=public_jobs_topcard-title
